block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp
44	620	122	135	61	49	64	20	1154	AFR	23379
45	820	231	176	70	33	58	23	1502	AFR	32412
46	1088	283	212	105	75	90	28	1972	AFR	44412
47	508	137	92	57	33	74	17	1013	AFR	22293
48	564	118	107	55	36	70	27	1091	AFR	22182
49	332	81	72	32	16	40	11	637	AFR	13599
51	121	38	24	19	9	11	3	237	AFR	4788
52	98	23	18	12	4	7	3	175	AFR	3900
53	96	20	28	9	3	5	2	170	AFR	3243
54	128	23	20	11	5	5	6	205	AFR	5007
55	548	143	114	50	40	53	24	1071	AFR	21141
56	147	44	21	17	5	8	3	254	AFR	5124
58	552	144	119	48	38	46	18	1026	AFR	23547
59	400	99	90	42	23	48	13	782	AFR	15276
60	1149	316	258	128	73	114	34	2212	AFR	45183
61	1588	416	304	154	103	150	49	2958	AFR	81235
62	1422	338	280	119	97	131	48	2610	AFR	54094
63	1004	283	215	123	89	132	39	2070	AFR	44391
64	957	246	160	68	59	85	27	1688	AFR	39693
65	683	199	169	84	64	114	35	1460	AFR	26013
66	1469	354	296	140	82	106	26	2609	AFR	54678
67	950	279	263	121	83	112	36	2042	AFR	28399
68	841	221	185	89	53	79	42	1673	AFR	38463
69	257	83	62	25	13	27	16	535	AFR	10323
70	296	75	75	38	14	33	12	592	AFR	12993
71	1374	363	269	127	107	123	45	2532	AFR	55181
72	244	82	74	25	32	32	14	544	AFR	11916
73	352	91	92	25	19	46	20	687	AFR	19065
74	552	126	107	69	36	47	15	1013	AFR	19599
75	471	104	99	49	35	43	25	899	AFR	19220
76	575	139	115	55	47	57	14	1092	AFR	27204
77	615	157	142	62	37	61	23	1195	AFR	26076
78	747	193	167	84	44	75	22	1459	AFR	29892
79	1321	312	278	112	105	162	34	2497	AFR	51234
80	511	129	107	42	35	43	16	950	AFR	18402
81	445	104	103	46	36	30	15	822	AFR	18270
82	203	57	46	31	13	16	8	415	AFR	6609
83	218	51	50	22	8	25	5	406	AFR	7302
84	126	27	28	15	13	13	6	265	AFR	5775
85	460	138	98	63	42	51	25	973	AFR	19972
86	536	132	124	60	37	30	25	1023	AFR	23553
87	304	103	58	35	33	26	5	618	AFR	14607
88	389	107	82	48	31	39	16	784	AFR	14055
89	228	54	44	28	17	37	14	473	AFR	11045
90	296	84	64	35	23	42	14	622	AFR	13677
91	160	42	45	23	10	18	5	339	AFR	7245
93	108	24	23	5	6	14	5	198	AFR	3183
94	174	33	33	12	9	10	7	305	AFR	8316
95	580	163	138	77	54	87	44	1284	AFR	19743
96	399	110	98	44	41	37	35	850	AFR	11457
97	337	132	101	53	43	55	23	904	AFR	12291
98	629	162	125	68	43	73	31	1245	AFR	21456
99	679	156	136	60	58	89	38	1317	AFR	28687
100	516	135	103	56	31	64	18	1007	AFR	24246
101	363	91	86	28	27	35	21	716	AFR	13068
102	416	110	90	48	47	47	27	872	AFR	17673
103	250	77	49	32	13	20	15	492	AFR	9383
104	163	53	37	22	8	29	10	351	AFR	7602
105	1254	315	268	120	109	121	48	2421	AFR	57348
106	1102	261	215	105	60	104	32	1987	AFR	37572
0	344	85	108	35	28	40	5	661	SAS	8490
1	612	134	121	71	40	58	18	1099	SAS	13239
2	532	158	152	48	35	54	14	1027	SAS	11037
3	1446	346	317	160	81	115	9	2598	SAS	28833
4	264	78	69	26	16	26	1	487	SAS	6117
5	969	221	197	109	58	85	11	1681	SAS	22692
6	555	142	143	75	48	50	7	1044	SAS	13917
7	1126	341	261	117	61	97	8	2066	SAS	27279
9	551	149	145	73	39	58	2	1050	SAS	12777
10	290	71	62	21	17	18	4	496	SAS	6936
11	241	54	63	26	21	28	3	443	SAS	5820
12	368	110	86	51	27	38	7	702	SAS	8133
13	745	191	186	91	51	57	9	1365	SAS	15207
14	946	234	216	115	75	79	12	1730	SAS	23175
15	865	258	252	93	72	86	12	1689	SAS	20241
16	737	198	175	93	55	57	7	1361	SAS	16890
18	1124	289	268	122	76	88	8	2040	SAS	25321
19	608	153	135	62	35	59	11	1103	SAS	16731
20	388	106	109	31	25	22	5	712	SAS	10314
21	241	49	60	14	16	27	3	431	SAS	6921
22	221	53	54	27	14	28	3	422	SAS	8175
24	205	70	59	19	23	23	3	423	SAS	6033
25	846	214	195	83	52	60	7	1490	SAS	22178
26	958	218	175	97	53	74	13	1655	SAS	23505
27	759	162	161	84	50	49	6	1320	SAS	19620
28	1847	428	385	162	116	158	35	3302	SAS	47499
29	346	97	80	40	29	35	8	665	SAS	10443
30	994	273	197	100	70	94	11	1786	SAS	27474
31	2155	563	452	215	148	169	28	3825	SAS	57595
32	1082	295	254	130	84	88	16	2003	SAS	26001
33	1963	474	410	209	126	166	28	3469	SAS	58758
34	1138	268	196	95	76	100	12	1915	SAS	31911
35	230	59	48	17	17	21	5	404	SAS	5943
36	1002	222	229	90	66	78	8	1737	SAS	25500
37	686	199	154	79	49	55	19	1278	SAS	19029
38	1200	292	278	118	66	108	22	2162	SAS	32334
39	723	215	188	85	72	73	8	1434	SAS	17358
40	569	148	118	42	30	38	6	966	SAS	16486
41	688	193	172	77	49	57	13	1299	SAS	15855
42	1349	347	239	137	67	99	20	2345	SAS	33048
43	589	131	125	64	28	41	11	1017	SAS	15918
44	947	229	231	87	57	72	10	1688	SAS	23379
45	1233	314	284	117	69	90	9	2158	SAS	32412
46	1672	353	342	149	93	104	15	2793	SAS	44412
47	739	179	160	85	61	56	11	1356	SAS	22293
48	742	176	170	85	71	66	11	1395	SAS	22182
49	498	99	101	51	33	33	5	860	SAS	13599
51	172	39	42	18	11	12	5	304	SAS	4788
52	148	29	32	13	5	16	0	246	SAS	3900
53	140	30	30	21	15	12	3	254	SAS	3243
54	187	36	23	16	7	8	1	281	SAS	5007
55	823	203	201	104	51	67	10	1527	SAS	21141
56	211	42	63	18	13	20	3	375	SAS	5124
58	834	189	165	82	45	84	10	1451	SAS	23547
59	583	155	141	66	48	56	5	1107	SAS	15276
60	1762	422	376	184	118	128	20	3092	SAS	45183
61	2569	600	550	231	164	190	29	4459	SAS	81235
62	2119	588	444	219	139	163	30	3816	SAS	54094
63	1516	368	385	173	113	163	30	2859	SAS	44391
64	1432	353	309	137	83	118	15	2501	SAS	39693
65	1036	264	235	112	76	118	13	1936	SAS	26013
66	2166	540	446	213	119	136	22	3710	SAS	54678
67	1417	378	298	167	120	132	14	2635	SAS	28399
68	1252	333	278	114	82	106	14	2269	SAS	38463
69	376	103	102	46	40	42	6	746	SAS	10323
70	492	136	92	51	30	52	6	887	SAS	12993
71	2126	510	444	211	127	174	30	3704	SAS	55181
72	423	103	94	46	31	38	1	769	SAS	11916
73	637	144	107	50	34	49	7	1051	SAS	19065
74	801	228	197	79	55	67	15	1470	SAS	19599
75	745	177	141	77	60	86	9	1348	SAS	19220
76	805	244	186	114	58	63	7	1533	SAS	27204
77	926	253	228	106	80	103	11	1771	SAS	26076
78	1101	251	226	109	73	95	18	1937	SAS	29892
79	1949	514	449	208	139	171	29	3554	SAS	51234
80	713	198	169	74	54	58	6	1300	SAS	18402
81	695	164	133	71	41	67	10	1207	SAS	18270
82	305	71	59	38	18	31	2	549	SAS	6609
83	272	67	64	45	23	21	2	512	SAS	7302
84	215	49	52	25	18	15	4	393	SAS	5775
85	708	194	199	87	57	78	14	1411	SAS	19972
86	819	209	153	75	54	67	9	1440	SAS	23553
87	495	116	106	46	29	40	4	878	SAS	14607
88	557	129	114	69	37	51	1	987	SAS	14055
89	346	81	83	28	26	38	3	640	SAS	11045
90	482	106	104	63	43	47	10	891	SAS	13677
91	256	64	64	24	10	16	0	457	SAS	7245
93	173	46	35	21	4	13	2	298	SAS	3183
94	265	57	62	33	11	26	5	477	SAS	8316
95	846	211	214	107	66	91	20	1661	SAS	19743
96	560	148	143	69	33	62	8	1082	SAS	11457
97	407	153	172	74	40	68	17	1030	SAS	12291
98	927	226	225	105	86	86	18	1750	SAS	21456
99	1147	290	259	112	72	90	15	2049	SAS	28687
100	786	180	178	86	40	68	7	1407	SAS	24246
101	572	157	120	50	41	41	7	1040	SAS	13068
102	632	157	129	74	43	64	11	1162	SAS	17673
103	352	98	73	35	27	34	5	641	SAS	9383
104	246	74	50	27	23	15	2	453	SAS	7602
105	1899	488	360	198	132	158	23	3359	SAS	57348
106	1516	355	343	141	129	121	21	2689	SAS	37572
