block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
10	EAS	9	5	10	15	22	28	4	16	Original HAPGEN2
10	EAS	12	7	9	6	20	32	3	17	Original HAPGEN2
10	EAS	11	8	17	8	13	26	4	18	Original HAPGEN2
10	EAS	14	4	10	11	15	28	4	19	Original HAPGEN2
10	EAS	11	7	11	11	16	26	5	20	Original HAPGEN2
10	EAS	15	4	14	19	14	24	2	21	Original HAPGEN2
10	EAS	13	7	18	8	14	29	3	22	Original HAPGEN2
10	EAS	11	6	9	16	13	26	2	23	Original HAPGEN2
10	EAS	14	7	17	8	12	31	1	24	Original HAPGEN2
10	EAS	11	4	5	11	11	35	3	25	Original HAPGEN2
10	EAS	12	8	9	14	10	32	4	26	Original HAPGEN2
10	EAS	13	11	11	14	12	25	4	27	Original HAPGEN2
10	EAS	10	11	10	13	18	27	0	28	Original HAPGEN2
10	EAS	6	10	8	8	12	28	4	29	Original HAPGEN2
10	EAS	10	6	11	12	13	35	4	30	Original HAPGEN2
10	EAS	9	11	9	21	16	18	5	31	Original HAPGEN2
10	EAS	12	5	6	14	15	24	4	32	Original HAPGEN2
10	EAS	9	5	6	20	17	22	6	33	Original HAPGEN2
10	EAS	14	8	11	9	16	30	1	34	Original HAPGEN2
10	EAS	18	9	9	10	14	25	4	35	Original HAPGEN2
10	EAS	15	4	9	11	10	37	1	36	Original HAPGEN2
10	EAS	9	4	17	13	14	31	0	37	Original HAPGEN2
10	EAS	16	11	14	13	23	20	4	38	Original HAPGEN2
10	EAS	6	5	12	14	16	26	5	39	Original HAPGEN2
10	EAS	14	6	8	7	15	27	4	40	Original HAPGEN2
10	EAS	10	10	9	11	17	23	3	41	Original HAPGEN2
10	EAS	14	11	12	12	11	31	3	42	Original HAPGEN2
10	EAS	8	6	10	11	23	26	2	43	Original HAPGEN2
10	EAS	14	11	10	11	12	29	4	44	Original HAPGEN2
10	EAS	13	4	12	5	17	33	2	45	Original HAPGEN2
10	EAS	11	9	9	15	6	39	1	46	Original HAPGEN2
10	EAS	14	6	16	13	12	23	4	47	Original HAPGEN2
10	EAS	9	7	13	11	16	28	6	48	Original HAPGEN2
10	EAS	14	3	10	12	12	31	6	49	Original HAPGEN2
10	EAS	15	5	13	17	12	30	1	50	Original HAPGEN2
10	EAS	11	2	11	11	18	27	2	51	Original HAPGEN2
10	EAS	9	9	7	6	13	29	4	52	Original HAPGEN2
10	EAS	9	6	12	11	15	30	2	53	Original HAPGEN2
10	EAS	16	8	12	9	14	29	3	54	Original HAPGEN2
10	EAS	13	8	11	7	16	24	6	55	Original HAPGEN2
10	EAS	10	3	11	15	10	29	1	56	Original HAPGEN2
10	EAS	12	7	16	6	14	30	4	57	Original HAPGEN2
10	EAS	12	4	10	12	15	23	5	58	Original HAPGEN2
10	EAS	18	9	11	17	14	25	3	59	Original HAPGEN2
10	EAS	13	5	11	10	20	19	4	60	Original HAPGEN2
10	EAS	12	7	12	13	14	28	3	61	Original HAPGEN2
10	EAS	7	9	16	15	12	30	1	62	Original HAPGEN2
10	EAS	12	1	16	9	17	26	2	63	Original HAPGEN2
10	EAS	14	5	10	5	16	27	4	64	Original HAPGEN2
10	EAS	8	7	6	7	17	25	5	65	Original HAPGEN2
