pop	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	block
NFE	56885	449.977767411104	127.161668035841	116.720324949755	50.4000091174059	28.5551253282113	31.4945764113822	0.698923483145879	35
SAS	15308	223.999961956484	53.1054948781883	49.1337656965292	23.2098170864495	14.8891944472039	18.7514504250155	2.35211253983174	35
AFR	8128	557.549798661921	156.483351118162	146.085566532851	65.2849018875441	38.4651829253759	34.2441115420132	6.68640994008981	36
EAS	9197	502.315796995376	131.241203332945	122.807835467673	56.9450502980835	35.3433162613522	35.9110457397266	6.93678283268069	36
NFE	56885	1845.5111621849	541.509136228478	498.269914665673	211.673143530471	116.809212627499	120.625305545113	2.28861170434334	36
SAS	15308	954.459552623076	221.840863706219	202.818301137137	94.6347106313589	60.0966279756948	74.439145911689	9.13307780756999	36
AFR	8128	434.603726742513	107.746506199256	104.700088083777	52.6825388221566	35.8555770456591	40.3284929786109	10.5757945862307	37
EAS	9197	388.247119254846	87.7482084269501	85.7199630245944	44.7226586176388	31.8847277641875	40.9004234912988	10.5903163002769	37
NFE	56885	1354.96971410374	429.881615839404	405.239810267323	171.875082897064	92.8638675109279	89.8251481234715	1.43246776694163	37
SAS	15308	657.739961245626	176.013266808644	165.338220043139	76.3843481557848	47.0430055092399	54.1521229525775	5.92633350094778	37
AFR	8128	720.111538926436	161.32367877652	155.945114735858	80.2807748856975	56.529352903937	67.4401092954768	19.0194537318872	38
EAS	9197	714.297009208652	183.681904628808	171.592087465051	79.8647093766001	49.8863693134275	51.2915261929852	10.0676816609625	38
NFE	56885	2388.19944693252	716.777669740002	664.491412353327	282.536862084121	155.251570849756	157.993916109899	2.88285112119687	38
SAS	15308	1149.1391934887	279.393515104077	259.45619810003	122.190803854392	77.8850332252642	96.6701669901328	11.8634048320285	38
AFR	8128	424.071234957267	118.431473127727	119.646965488317	61.3997114687251	41.9832171654942	47.0794258712474	12.2401319212201	39
EAS	9197	413.917579475278	94.0259237399204	90.630018717951	46.2725172871884	32.2710159272802	39.9565331644739	9.91793593733379	39
NFE	56885	1416.15671309579	432.259722568404	415.327631794094	187.13224576828	109.359450112317	126.965754796548	3.10820590017013	39
SAS	15308	666.902458827277	187.595822690769	182.322766384306	87.3778698166938	55.5055324938401	67.2207305895133	7.88633384194934	39
AFR	8128	174.296911513304	38.498791112429	34.7338847794594	16.1410989596362	10.2711413350393	10.5209503443851	2.47674024843033	4
EAS	9197	213.041708053284	40.6396185466154	30.6852588571342	11.2044353117157	5.67350886827449	4.32948103821865	0.58183932475701	4
NFE	56885	593.648622625324	166.778728929162	150.941613253292	63.6985930128613	35.2259696573302	36.904393206851	0.73017104000843	4
SAS	15308	255.394438755499	71.3053032987316	67.0368500066401	30.4157352671015	18.236776527521	19.8557037664444	1.99404248073011	4
AFR	8128	361.377798220045	89.7831986000121	79.0597408577549	33.7378230640693	19.326331216978	16.7102061132705	3.16680073739318	40
EAS	9197	375.968650635838	73.5933629654569	65.6766285886667	31.099087814587	20.4211431351243	23.2175574441974	5.22409930304453	40
NFE	56885	1111.71123020082	338.627012019111	308.932904033272	126.135790186994	65.9171867659294	60.044682661849	0.834862334782155	40
SAS	15308	545.059245381406	133.889722834711	117.77843817362	50.4226711519642	29.0373976033964	29.9018898317976	2.79098284919432	40
AFR	8128	424.213129362412	103.511564686173	102.608227434413	53.5354794730578	37.8706962975294	45.2433365879342	12.7455912368508	41
EAS	9197	418.680336695351	102.633021701391	96.8336968820709	46.6582186948035	30.4175235820826	33.6301628531131	7.25004929992281	41
