block	pop	downsample	exp_all	obs_all	exp_syn	obs_syn	exp_mis	obs_mis	exp_lof	obs_lof
1	sas	15308	1057.98781	1023	336.672	431	688.415	576	32.90081	NA
2	afr	10	7.279462	1	2.42152	1	4.67418	0	0.183762	0
2	afr	20	14.018662	7	4.6478	4	9.01123	3	0.359632	0
2	afr	50	30.375026	22	10.05427	11	19.5364	11	0.784356	0
2	afr	100	50.562354	37	16.73705	17	32.5219	20	1.303404	0
2	afr	200	81.69656	60	27.0427	27	52.5559	33	2.09796	0
2	afr	500	145.25755	105	48.1099	44	93.4248	61	3.72285	0
2	afr	1000	219.49255	181	72.646	81	141.205	99	5.64155	1
2	afr	2000	330.08667	262	109.1359	116	212.422	145	8.52877	1
2	afr	3070	423.81162	344	139.9281	147	272.857	195	11.02652	2
2	afr	5000	559.29673	456	184.2637	196	360.322	257	14.71103	3
2	afr	5040	561.79055	456	185.0715	196	361.938	257	14.78105	3
2	afr	8128	730.8014	611	239.921	252	471.333	354	19.5474	5
2	eas	10	3.7132235	3	1.232516	1	2.38872	2	0.0919875	0
2	eas	20	7.144095	5	2.36893	1	4.59547	3	0.179695	1
2	eas	50	16.813448	12	5.59373	6	10.80019	5	0.419528	1
2	eas	100	30.510646	20	10.14331	10	19.6007	9	0.766636	1
2	eas	200	53.093203	44	17.64792	21	34.1079	22	1.337383	1
2	eas	500	103.65386	92	34.4755	41	66.5738	50	2.60456	1
2	eas	1000	165.42726	140	54.9748	59	106.2832	79	4.16926	2
2	eas	2000	259.19748	220	86.0085	92	166.6107	126	6.57828	2
2	eas	3070	337.10058	301	111.7258	121	216.767	178	8.60778	2
2	eas	5000	450.00932	424	148.7092	156	289.651	266	11.64912	2
2	eas	5040	452.03698	426	149.3811	157	290.954	267	11.70188	2
2	eas	8128	593.32399	557	195.4404	211	382.287	342	15.59659	4
2	eas	9197	635.88667	605	209.282	228	409.816	372	16.78867	5
2	global	10	2.0784903	2	0.692755	0	1.335064	2	0.0506713	0
2	global	20	4.1360774	3	1.374687	1	2.65891	2	0.1024804	0
2	global	50	11.746456	7	3.90518	1	7.54819	6	0.293086	0
2	global	100	23.593623	19	7.8396	7	15.1621	11	0.591923	1
2	global	200	46.221442	39	15.37305	16	29.6884	22	1.159992	1
2	global	500	106.83284	91	35.4442	41	68.6724	49	2.71624	1
2	global	1000	193.13702	162	64.0314	72	124.1709	89	4.93472	1
2	global	2000	324.75703	285	107.3267	114	209.028	170	8.40233	1
2	global	3070	442.29062	385	145.8766	150	284.855	232	11.55902	3
2	global	5000	615.30115	548	202.3298	205	396.648	337	16.32335	6
2	global	5040	618.67313	550	203.4216	206	398.832	338	16.41953	6
2	global	8128	838.276	750	274.403	285	541.16	459	22.713	6
2	global	9197	906.2154	828	296.164	312	585.324	508	24.7274	8
2	global	10000	952.6478	884	311.021	332	615.508	542	26.1188	10
2	global	10824	997.8691	921	325.438	345	644.939	565	27.4921	11
2	global	15000	1208.356	1142	392.16	434	782.185	694	34.011	14
2	global	15308	1222.3815	1162	396.582	443	791.35	705	34.4495	14
2	global	17296	1310.5703	1240	424.306	471	848.99	753	37.2743	16
2	global	20000	1421.0382	1350	458.788	517	921.357	816	40.8932	17
2	global	25000	1602.3612	1542	515.063	593	1040.325	931	46.9732	18
2	global	30000	1761.7181	1711	563.948	642	1145.255	1050	52.5151	19
2	global	35000	1906.6906	1861	608.109	697	1240.902	1141	57.6796	23
2	global	40000	2039.7051	2015	648.344	755	1328.83	1231	62.5311	29
2	global	45000	2162.0255	2127	685.04	786	1409.898	1309	67.0875	32
2	global	50000	2276.0983	2248	719.071	830	1485.617	1385	71.4103	33
2	global	55000	2382.6132	2374	750.721	872	1556.389	1468	75.5032	34
2	global	56885	2420.1872	2403	761.813	881	1581.409	1488	76.9652	34
2	global	60000	2482.5516	2473	780.194	908	1622.948	1529	79.4096	36
2	global	65000	2579.2883	2560	808.65	935	1687.42	1586	83.2183	39
2	global	70000	2671.916	2669	835.778	975	1749.23	1653	86.908	41
2	global	75000	2758.2641	2775	860.955	1004	1806.92	1725	90.3891	46
2	global	80000	2841.5695	2846	885.15	1027	1862.64	1773	93.7795	46
2	global	85000	2921.0127	2924	908.115	1055	1915.85	1823	97.0477	46
2	global	90000	2998.3018	3009	930.474	1088	1967.6	1875	100.2278	46
2	global	95000	3072.4143	3077	951.834	1117	2017.27	1911	103.3103	49
2	global	100000	3144.1596	3157	972.366	1141	2065.47	1966	106.3236	50
2	global	110000	3280.7924	3311	1011.5	1192	2157.21	2064	112.0824	55
2	global	120000	3409.6698	3461	1048.234	1243	2243.87	2158	117.5658	60
2	global	125748	3480.234	3530	1068.247	1268	2291.39	2198	120.597	64
2	nfe	10	1.4534028	2	0.485348	1	0.932255	1	0.0357998	0
2	nfe	20	2.85855	3	0.946799	2	1.83891	1	0.072841	0
2	nfe	50	7.578976	5	2.52143	2	4.86782	3	0.189726	0
2	nfe	100	15.018545	10	5.00138	5	9.6438	5	0.373365	0
2	nfe	200	29.013179	24	9.66122	11	18.6291	13	0.722859	0
2	nfe	500	67.314622	52	22.41112	24	43.2197	28	1.683802	0
2	nfe	1000	122.49191	93	40.7107	40	78.7048	53	3.07641	0
2	nfe	2000	215.54993	175	71.4991	64	138.5806	108	5.47023	3
