block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp	Zeros	per_rv
15	0.460863204096562	0.134601316752012	0.130212143379663	0.0665691294806145	0.0409656181419166	0.0607168983174835	0.027798098024872	1367	AFR	20241	0	0.921726408193124
16	0.551901336073998	0.146968139773895	0.110996916752312	0.0503597122302158	0.0318602261048304	0.0380267214799589	0.0143884892086331	973	AFR	16890	0	0.944501541623844
18	0.499661933739013	0.142663962136579	0.116970926301555	0.0588235294117647	0.0365111561866126	0.0588235294117647	0.0196078431372549	1479	AFR	25321	0	0.933062880324544
19	0.492628992628993	0.14004914004914	0.135135135135135	0.0552825552825553	0.0405405405405405	0.0491400491400491	0.0135135135135135	814	AFR	16731	0	0.926289926289926
20	0.548571428571429	0.114285714285714	0.114285714285714	0.0476190476190476	0.0323809523809524	0.0571428571428571	0.0152380952380952	525	AFR	10314	0	0.92952380952381
21	0.47766323024055	0.116838487972509	0.134020618556701	0.0481099656357388	0.0687285223367698	0.0378006872852234	0.0309278350515464	291	AFR	6921	0	0.914089347079038
22	0.455414012738854	0.124203821656051	0.117834394904459	0.0573248407643312	0.035031847133758	0.0923566878980892	0.00636942675159236	314	AFR	8175	0	0.888535031847134
24	0.526490066225166	0.0960264900662252	0.102649006622517	0.0662251655629139	0.0463576158940397	0.0496688741721854	0.0198675496688742	302	AFR	6033	0	0.907284768211921
25	0.541089566020314	0.139427516158818	0.109879963065559	0.0498614958448753	0.03601108033241	0.0424746075715605	0.0184672206832872	1083	AFR	22178	0	0.937211449676824
26	0.4925	0.1275	0.111666666666667	0.0591666666666667	0.0425	0.0491666666666667	0.0291666666666667	1200	AFR	23505	0	0.911666666666667
27	0.504854368932039	0.142394822006472	0.0916936353829558	0.0517799352750809	0.0345199568500539	0.0571736785329018	0.0269687162891046	927	AFR	19620	0	0.909385113268608
28	0.485467399842891	0.122937941869599	0.104477611940299	0.0522388059701493	0.0443833464257659	0.0616653574234093	0.0176747839748625	2546	AFR	47499	0	0.888845247446976
29	0.459958932238193	0.143737166324435	0.125256673511294	0.0616016427104723	0.0246406570841889	0.053388090349076	0.0102669404517454	487	AFR	10443	0	0.878850102669404
30	0.538284839203675	0.145482388973966	0.111026033690658	0.060490045941807	0.0252679938744257	0.0451761102603369	0.0107197549770291	1306	AFR	27474	0	0.936447166921899
31	0.538194444444444	0.140432098765432	0.120756172839506	0.0513117283950617	0.0393518518518519	0.0435956790123457	0.0135030864197531	2592	AFR	57595	0	0.947145061728395
32	0.525399129172714	0.153120464441219	0.118287373004354	0.0522496371552975	0.0268505079825835	0.0500725689404935	0.0203193033381713	1378	AFR	26001	0	0.946298984034833
33	0.527744025921426	0.140137707573917	0.113001215066829	0.0510328068043742	0.0311867152693398	0.0453624949372215	0.0153908464965573	2469	AFR	58758	0	0.923855812069664
34	0.572249589490969	0.138752052545156	0.103448275862069	0.0517241379310345	0.0303776683087028	0.0410509031198686	0.0147783251231527	1218	AFR	31911	0	0.952380952380952
35	0.5	0.118243243243243	0.138513513513514	0.0540540540540541	0.0405405405405405	0.0641891891891892	0.0101351351351351	296	AFR	5943	0	0.925675675675676
36	0.516511430990686	0.160033869602032	0.122777307366638	0.052497883149873	0.0262489415749365	0.0389500423370025	0.0211685012701101	1181	AFR	25500	0	0.938187976291279
