block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp	Zeros	per_rv	alpha	beta	b	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	bias_singletons	bias_doubletons	bias_MAC3_5	bias_MAC6_10	bias_MAC11_20	bias_21.MAF005	bias_MAF005_MAF01	check
14	0.544570502431118	0.136952998379254	0.103727714748784	0.0445705024311183	0.03322528363047	0.0542949756888169	0.0145867098865478	1234	AFR	23175	0	0.93192868719611	-0.365169006634255	1.58729399252349	0.265395242450754	8128	0.545924659070955	0.12163230614854	0.114502753426989	0.0567084550294326	0.0384404434338891	0.0433012313947212	0.0114188386915841	-0.00135415663983685	0.0153206922307149	-0.0107750386782044	-0.0121379525983143	-0.00521515980341911	0.0109937442940957	0.00316787119496371	-4.04190569902596e-16
15	0.460863204096562	0.134601316752012	0.130212143379663	0.0665691294806145	0.0409656181419166	0.0607168983174835	0.027798098024872	1367	AFR	20241	0	0.921726408193124	-0.228570827340562	1.53859506238634	0.31015813720558	8128	0.462369212093207	0.128680701139409	0.132880047686496	0.0707612120241657	0.0503114480904065	0.0599625190913751	0.0167612680680593	-0.00150600799664469	0.00592061561260226	-0.00266790430683253	-0.0041920825435512	-0.00934582994848987	0.000754379226108437	0.0110368299568127	5.09314812546791e-15
16	0.551901336073998	0.146968139773895	0.110996916752312	0.0503597122302158	0.0318602261048304	0.0380267214799589	0.0143884892086331	973	AFR	16890	0	0.944501541623844	-0.183781622707374	1.76240738945166	0.387554563116418	8128	0.554326910008535	0.135385807777353	0.123348281781581	0.0561910005686287	0.0345781529731115	0.0333905996547735	0.00728078885985884	-0.00242557393453724	0.0115823319965419	-0.0123513650292684	-0.00583128833841288	-0.00271792686828111	0.00463612182518539	0.00710770034877425	1.92901250528621e-15
18	0.499661933739013	0.142663962136579	0.116970926301555	0.0588235294117647	0.0365111561866126	0.0588235294117647	0.0196078431372549	1479	AFR	25321	0	0.933062880324544	-0.271970007851835	1.5748033265507	0.304175638716104	8128	0.501432195439551	0.128536919986298	0.127262510947307	0.0652238634380167	0.0450503421738367	0.0516935370686653	0.0138635112708705	-0.00177026170053857	0.0141270421502807	-0.0102915846457519	-0.00640033402625201	-0.00853918598722415	0.0071299923430994	0.0057443318663844	-2.13544459892745e-15
19	0.492628992628993	0.14004914004914	0.135135135135135	0.0552825552825553	0.0405405405405405	0.0491400491400491	0.0135135135135135	814	AFR	16731	0	0.926289926289926	-0.122071927578326	1.68878710525288	0.395810334283328	8128	0.493143086080176	0.136553124082379	0.133774358397302	0.0654339532368854	0.0425890847232386	0.0442844867590029	0.0105118330109433	-0.000514093451183084	0.00349601596676119	0.00136077673783319	-0.0101513979543301	-0.00204854418269807	0.00485556238104624	0.00300168050257021	-4.02455846426619e-16
20	0.548571428571429	0.114285714285714	0.114285714285714	0.0476190476190476	0.0323809523809524	0.0571428571428571	0.0152380952380952	525	AFR	10314	0	0.92952380952381	-0.46691790804747	1.49323623598815	0.21414948041084	8128	0.547870586009057	0.113142046433383	0.108392831803878	0.0562377857977346	0.0402002268455557	0.0492962693635282	0.0143840632706764	0.000700842562371684	0.00114366785233135	0.00589288248183639	-0.00861873817868694	-0.00781927446460334	0.00784658777932894	0.000854031967418838	-3.08086889333481e-15
21	0.47766323024055	0.116838487972509	0.134020618556701	0.0481099656357388	0.0687285223367698	0.0378006872852234	0.0309278350515464	291	AFR	6921	0	0.914089347079038	-0.278426697949434	1.54330088081109	0.289629832896077	8128	0.47924676570457	0.125238896503526	0.126276387207217	0.0661795097291994	0.0466577225201609	0.0551714413129665	0.0153186241013974	-0.00158353546401985	-0.00840040853101773	0.00774423134948402	-0.0180695440934606	0.0220707998166089	-0.0173707540277431	0.015609210950149	6.17561557447743e-16
22	0.455414012738854	0.124203821656051	0.117834394904459	0.0573248407643312	0.035031847133758	0.0923566878980892	0.00636942675159236	314	AFR	8175	0	0.888535031847134	-0.41551558867893	1.40340726555861	0.21336854399403	8128	0.453359744072426	0.11184231892442	0.11703377554738	0.0660496989954978	0.0504832439855034	0.0678743580301688	0.021891892291738	0.00205426866642749	0.0123615027316309	0.000800619357078827	-0.00872485823116657	-0.0154513968517455	0.0244823298679204	-0.0155224655401456	-8.50014503228635e-17
24	0.526490066225166	0.0960264900662252	0.102649006622517	0.0662251655629139	0.0463576158940397	0.0496688741721854	0.0198675496688742	302	AFR	6033	0	0.907284768211921	-0.553133604779358	1.38992587921105	0.171966799350904	8128	0.526831435482312	0.102910806515496	0.101985852045411	0.0561982508575307	0.0427555833239703	0.0577655350509094	0.018837304936292	-0.000341369257146673	-0.00688431644927125	0.000663154577105168	0.0100269147053832	0.00360203257006944	-0.00809666087872397	0.00103024473258217	-1.90472637662253e-15
25	0.541089566020314	0.139427516158818	0.109879963065559	0.0498614958448753	0.03601108033241	0.0424746075715605	0.0184672206832872	1083	AFR	22178	0	0.937211449676824	-0.276947345852173	1.65865297214371	0.317273410622536	8128	0.543277726772404	0.128675654641846	0.120245595691389	0.0577392752473824	0.0376713056968022	0.0398658102615799	0.00973608136541903	-0.00218816075208972	0.0107518615169725	-0.0103656326258303	-0.007877779402507	-0.00166022536439223	0.00260879730998058	0.00873113931786814	2.00707506170517e-15
