block	pop	downsample	exp_all	obs_all	N_bp	per_kb
9	sas	5000	509.214350617427	511.949559287139	12777	40.0680566085262
9	sas	5040	511.859764455596	511.949559287139	12777	40.0680566085262
9	sas	8128	687.927874998606	694.725235368547	12777	54.3731106964504
9	sas	9197	740.991094174012	748.941795878102	12777	58.6164041541913
9	sas	10000	778.957667485685	785.431962941517	12777	61.4723301981308
9	sas	10824	816.728279770958	822.743507259431	12777	64.3925418532857
9	sas	15000	987.474927089579	978.410903086062	12777	76.5759492123395
9	sas	15308	999.144442537691	988.965043213451	12777	77.4019756760938
10	sas	10	1.9264856	1	6936	0.144175317185698
10	sas	20	3.860705	1	6936	0.144175317185698
10	sas	50	9.403105	1	6936	0.144175317185698
10	sas	100	17.635465	6	6936	0.865051903114187
10	sas	200	32.04795	16	6936	2.30680507497117
10	sas	500	65.07907	31	6936	4.46943483275663
10	sas	1000	107.38321	55	6936	7.92964244521338
10	sas	2000	172.87019	104	6936	14.9942329873126
10	sas	3070	229.75063	153	6936	22.0588235294118
10	sas	5000	313.5753	228	6936	32.8719723183391
10	sas	5040	315.191	230	6936	33.1603229527105
10	sas	8128	422.7803	328	6936	47.2895040369089
10	sas	9197	455.1879	346	6936	49.8846597462514
10	sas	10000	478.322	360	6936	51.9031141868512
10	sas	10824	501.2901	377	6936	54.3540945790081
10	sas	15000	604.9505	460	6936	66.320645905421
10	sas	15308	612.0271	469	6936	67.6182237600923
11	sas	10	1.7593722	0	5820	0
11	sas	20	3.506549	2	5820	0.343642611683849
11	sas	50	8.550819	7	5820	1.20274914089347
11	sas	100	16.010177	14	5820	2.40549828178694
11	sas	200	29.093701	27	5820	4.63917525773196
11	sas	500	59.03725	48	5820	8.24742268041237
11	sas	1000	97.45235	79	5820	13.573883161512
11	sas	2000	156.64904	125	5820	21.4776632302405
11	sas	3070	207.94363	159	5820	27.319587628866
11	sas	5000	283.17647	218	5820	37.4570446735395
11	sas	5040	284.62065	218	5820	37.4570446735395
11	sas	8128	380.659	292	5820	50.1718213058419
11	sas	9197	409.4729	314	5820	53.9518900343643
11	sas	10000	429.996	321	5820	55.1546391752577
11	sas	10824	450.3203	337	5820	57.9037800687285
11	sas	15000	541.8132	413	5820	70.9621993127148
11	sas	15308	548.0331	418	5820	71.8213058419244
12	sas	10	2.3790189	3	8133	0.368867576540022
12	sas	20	4.7484406	5	8133	0.61477929423337
12	sas	50	11.565697	11	8133	1.35251444731341
12	sas	100	21.666983	21	8133	2.58207303578016
12	sas	200	39.373316	33	8133	4.05754334194024
12	sas	500	79.924204	69	8133	8.48395426042051
12	sas	1000	131.89888	113	8133	13.8940120496742
12	sas	2000	212.12291	184	8133	22.623878027788
12	sas	3070	281.68176	242	8133	29.7553178408951
12	sas	5000	383.84173	342	8133	42.0509037255625
12	sas	5040	385.80513	344	8133	42.2968154432559
12	sas	8128	516.36932	453	8133	55.6990040575433
12	sas	9197	555.6004	491	8133	60.371326693717
12	sas	10000	583.54962	525	8133	64.5518258945039
12	sas	10824	611.24897	549	8133	67.502766506824
12	sas	15000	736.01224	656	8133	80.6590434034182
12	sas	15308	744.5048	662	8133	81.3967785564982
13	sas	10	4.7665907	2	15207	0.131518379693562
13	sas	20	9.4792282	3	15207	0.197277569540343
13	sas	50	23.2087031	12	15207	0.789110278161373
13	sas	100	43.436725	29	15207	1.90701650555665
13	sas	200	78.952401	57	15207	3.74827382126652
13	sas	500	160.107553	123	15207	8.08838035115407
13	sas	1000	264.39578	217	15207	14.2697441967515
13	sas	2000	424.65834	360	15207	23.6733083448412
13	sas	3070	563.26979	477	15207	31.3671335569146
13	sas	5000	766.11455	647	15207	42.5461958308674
13	sas	5040	770.02928	650	15207	42.7434734004077
13	sas	8128	1028.43307	883	15207	58.0653646347077
13	sas	9197	1105.78585	953	15207	62.6685079239824
13	sas	10000	1160.7742	992	15207	65.2331163280068
13	sas	10824	1215.24811	1050	15207	69.0471493391201
13	sas	15000	1459.96484	1286	15207	84.5663181429605
13	sas	15308	1476.55146	1305	15207	85.8157427500493
14	sas	10	6.356146	7	23175	0.302049622437972
14	sas	20	12.706051	11	23175	0.474649406688242
14	sas	50	31.022313	23	23175	0.992448759439051
14	sas	100	58.131343	45	23175	1.94174757281553
14	sas	200	105.643139	73	23175	3.14994606256742
14	sas	500	214.40045	157	23175	6.77454153182309
14	sas	1000	353.90615	278	23175	11.9956850053937
14	sas	2000	569.27108	449	23175	19.3743257820928
14	sas	3070	756.06764	596	23175	25.7173678532902
14	sas	5000	1030.73302	796	23175	34.3473570658037
14	sas	5040	1036.02374	803	23175	34.6494066882416
14	sas	8128	1387.8225	1108	23175	47.8101402373247
14	sas	9197	1493.551	1183	23175	51.0463861920173
14	sas	10000	1568.9543	1253	23175	54.066882416397
14	sas	10824	1643.7446	1312	23175	56.6127292340885
14	sas	15000	1980.904	1601	23175	69.0830636461704
14	sas	15308	2003.8592	1625	23175	70.1186623516721
15	sas	10	5.41737164	4	20241	0.197618694728521
15	sas	20	10.8126633	10	20241	0.494046736821303
15	sas	50	26.4840201	20	20241	0.988093473642607
15	sas	100	49.5798702	51	20241	2.51963835778865
15	sas	200	90.099719	96	20241	4.74284867348451
15	sas	500	182.725216	160	20241	7.90474778914085
